"section","order","label","date","heading","body","button_label","button_url","visible"
"hero","1","Project bulletin","","Falcon Way Improvements","Mobile-friendly project updates for people checking Falcon Way Improvements from a phone. Find current notices, typical working hours, access-impact guidance, and who to contact.","Recent updates","#updates","yes"
"meta","1","Last updated","","June 10, 2026","","","","yes"
"status","1","Status","","Public bulletin updated","","","","yes"
"status","2","Work area","","Falcon Way on TFN lands","","","","yes"
"status","3","Typical hours","","7:30 AM to 5:30 PM, Monday to Friday","","","","yes"
"update","1","","June 10, 2026","Traffic impacts section added","A new Traffic Impacts section now shows the current traffic implementation, the next planned implementation, and the timeline for each when approved.","","","yes"
"update","2","","June 10, 2026","Communication guidance added","This bulletin now includes working hours, advance notice expectations, access-impact guidance, and public contact paths from the project communication process.","","","yes"
"update","3","","June 10, 2026","How residents will be notified","Planned access, parking, traffic, waste collection, water, sewer, or utility impacts will be shared through direct notices such as door hangers, mail drops, or TFN-approved channels when required.","","","yes"
"update","4","","June 10, 2026","Project QR code and website","The same QR code can stay active for the project and direct mobile users to current approved notices, updates, and contacts.","","","yes"
"update","5","","June 9, 2026","Public project page published","The Falcon Way Improvements bulletin was published as a simple public website for mobile access.","","","yes"
"traffic","1","Current","To be confirmed","Current traffic implementation","No active lane closure, detour, or traffic-control implementation has been posted to this bulletin yet. Follow site signage and traffic-control personnel when work is active.","","","yes"
"traffic","2","Next","To be confirmed","Next traffic implementation","The next planned traffic setup and dates will be posted once approved, including expected duration and affected access or travel routes.","","","yes"
"overview","1","","","Project purpose","Falcon Way Improvements will be delivered with focus on safety, respectful communication, resident access, traffic management, and coordination on Tsawwassen First Nation lands.","","","yes"
"overview","2","","","What this bulletin covers","Use this page for approved public updates, current notices, upcoming work activities, traffic and access impacts, working hours, contact information, and safety or traffic reminders.","","","yes"
"overview","3","","","How updates are shared","Updates may be posted here as project conditions change. Required direct notices will still be delivered by door hanger, mail drop, direct notice, or another TFN-approved channel.","","","yes"
"overview","4","","","Review before posting","Information involving major traffic impacts, utility disruptions, private resident matters, or TFN coordination will be reviewed with the appropriate representatives before publication.","","","yes"
"expect","1","","","Working hours","Standard working hours are 7:30 AM to 5:30 PM, Monday to Friday, unless otherwise approved by TFN or required for emergency work.","","","yes"
"expect","2","","","Access and traffic impacts","For driveway, parking, access, traffic, waste collection, or similar impacts, the target is at least 48 hours' notice, with 72 hours where practical.","","","yes"
"expect","3","","","Major or utility impacts","Major utility disruptions or total road closures target 5 business days' notice where practical. Water or sewer disruptions require separate notice at least 72 hours in advance.","","","yes"
"expect","4","","","During active work","Follow posted traffic control, site signage, and resident access instructions. Contact the project team if a planned access need is affected.","","","yes"
"contact","1","","","General project questions","For schedule questions, project limits, public notices, or general information, contact Kyle Palmer, Lead Project Coordinator.","Email Kyle: kyle.palmer@amrize.com","mailto:kyle.palmer@amrize.com","yes"
"contact","2","urgent","","Urgent access or field concern","For driveway access, deliveries, parking, waste collection, noise, or other time-sensitive field concerns, contact the on-site escalation lead or project superintendent.","Email Courtney: courtney.golden@amrize.com","mailto:courtney.golden@amrize.com","yes"
"contact","3","urgent","","Urgent access or field concern","","Call Ryan: 604-230-7763","tel:+16042307763","yes"
"contact","4","","","Site coordination","For construction sequencing or site coordination, contact the Amrize site superintendent.","Call Brandon: 604-355-8310","tel:+16043558310","yes"
"contact","5","urgent","","Emergency or immediate safety risk","For police, fire, ambulance, injury, fire, or immediate public safety concerns, call emergency services first.","Call 911","tel:911","yes"
"note","1","","","Public notice reminder","This website supports the project QR code and central updates. It does not replace required direct resident notices or formal TFN/project communication channels.","","","yes"
